song_name,singer,language
Zindagi Ek Safar Hai Suhana (Male),Kishore Kumar,Hindi
Pyar Hamara Amar Rahega,Asha Bhosle|Mohammad Aziz,Hindi
Tere Mere Honthon Pe,Babla Mehta|Lata Mangeshkar,Hindi
Yaad Aa Raha Hai,Bappi Lahiri,Hindi
Jahan Mil Jayen Chaar Yaar,Amitabh Bachchan|Kishore Kumar,Hindi
Chandni O Meri Chandni,Sridevi|Jolly Mukherjee,Hindi
Ankhon Mein Kajal Hai,Kishore Kumar|Lata Mangeshkar,Hindi
Jiska Mujhe Tha Intezar,Kishore Kumar|Lata Mangeshkar,Hindi
Dil Ke Jharokhe Mein,Mohammed Rafi,Hindi
Badi Sooni Sooni Hai Zindagi,Kishore Kumar,Hindi
Phool Tumhe Bheja Hai Khat Mein,Lata Mangeshkar|Mukesh,Hindi
Hum Bewafa Hargiz Na Thay (Happy),Kishore Kumar,Hindi
Apni To Jaise Taise - Dialogue,Kishore Kumar,Hindi
Dum Dum Diga Diga,Mukesh,Hindi
Khamosh Sa Afsana,Lata Mangeshkar|Suresh Wadkar,Hindi
Sajan Sajan Teri Dulhan,Alka Yagnik,Hindi
Awaara Bhanwara,Hema Sardesai|Malaysia Vasudevan,Hindi
Kate Nahin Kat Te,Kishore Kumar|Alisha Chinai,Hindi
Jab Deep Jale Aana,Hemlata|K J Yesudas,Hindi
Samne Ye Kaun Aya,Kishore Kumar,Hindi
Tum Jo Mil Gaye Ho,Mohammed Rafi|Lata Mangeshkar,Hindi
Zooby Zooby,Alisha Chinai,Hindi
Piya Tu Ab To Aaja,Asha Bhosle|R. D. Burman,Hindi
Mohabbat Hai Kya Cheez,Lata Mangeshkar|Suresh Wadkar,Hindi
Tirchi Topiwale (Part-1),Amit Kumar|Sapna Mukherjee,Hindi
Ae Nargise Mastana,Mohammed Rafi,Hindi
Yeh Naina Yeh Kaajal,Kishore Kumar,Hindi
Ye Bata De,Chitra Singh|Jagjit Singh,Hindi
Khullam Khulla Pyar Karenge,Asha Bhosle|Kishore Kumar,Hindi
Teri Yaad Aa Rahi Hai,Amit Kumar,Hindi
Jab Hum Jawan Honge,Lata Mangeshkar|Shabbir Kumar,Hindi
Roj Roj Aankhon Tale,Amit Kumar|Asha Bhosle|R. D. Burman,Hindi
Tumhari Nazron Mein Humne Dekha,Asha Bhosle|Kumar Sanu,Hindi
Justuju Jiski Thi,Asha Bhosle,Hindi
Chhodo Sanam,Kishore Kumar|Annette Pinto,Hindi
Tera Saath Hai Kitna Pyara,Kishore Kumar|Sapna Awasthi,Hindi
Ankhiyon Ke Jharokhon Se (Part 3),Hemlata,Hindi
Jimmy Jimmy Jimmy Aaja,Parvati Khan,Hindi
