song_name,singer,language
Omkara Nadanu,S. P. Balasubrahmanyam|S. Janaki,Telugu
Pattu Chera,S. P. Balasubrahmanyam|S. P. Sailaja,Telugu
Jaali Jaali Sande Gaali,S. P. Balasubrahmanyam|S. Janaki,Telugu
Nenoka Prama Pipaasini,S. P. Balasubrahmanyam,Telugu
Sarigama,S. P. Balasubrahmanyam|K. S. Chithra,Telugu
Telusaa Neeku Telusaa,S. P. Balasubrahmanyam|S. Janaki,Telugu
Nee Kowgililo,S. Janaki|S. P. Balasubrahmanyam,Telugu
Satyam Shivam Sundaram,S. P. Balasubrahmanyam,Telugu
Urakalya Godavari,S. P. Balasubrahmanyam|S. Janaki,Telugu
Ninna Sandhya Velalo,S. P. Balasubrahmanyam|S. P. Sailaja,Telugu
Mangalam,P. Susheela,Telugu
Ragam Thanam Pallavi,S. P. Balasubrahmanyam,Telugu
Bahusha Ninu,S. P. Balasubrahmanyam|P. Susheela,Telugu
Nee Kokakintha,S. P. Balasubrahmanyam|S. Janaki,Telugu
Digu Digu Bhama Aa Prema,S. P. Balasubrahmanyam|S. Janaki,Telugu
Balakankamaya,S. Janaki,Telugu
Oh Nindu Chandamama,K J Yesudas,Telugu
Gorinta Poochindhi,P. Susheela,Telugu
Malle Kanna Thellana,S. P. Balasubrahmanyam|P. Susheela,Telugu
Manishi Maara Ledhu,Ghanatasala|P Leela,Telugu
Aho Rama Katha,Ghanatasala,Telugu
Poomala,K J Yesudas,Telugu
Righto Atto Ito,S. P. Balasubrahmanyam|S. Janaki,Telugu
Chilakapaccha Thotalo,S. P. Balasubrahmanyam|K. S. Chithra,Telugu
Mama Chandamama,S. P. Balasubrahmanyam,Telugu
Sirimalle Puvvaa,S. Janaki,Telugu
Kudikannu Kotagaane,S. P. Balasubrahmanyam|P. Susheela,Telugu
Telugu Jaathi Manadi,Ghanatasala|N.T. Rama Rao,Telugu
Okey Kulam Okey,S. P. Balasubrahmanyam,Telugu
Nee Illu Bangaram Gaanu,S. Janaki|S. P. Balasubrahmanyam,Telugu
Daari Choopina,K J Yesudas,Telugu
Bujji Pelli Kodukki,S. P. Balasubrahmanyam|S. P. Sailaja,Telugu
Vela Pala Ledu,S. P. Balasubrahmanyam|S. Janaki,Telugu
Tinguranga Chakkanamma,S. P. Balasubrahmanyam|S. Janaki,Telugu
Jaya Jaya,S. Janaki,Telugu
Kokamma Cheppamma,S. P. Balasubrahmanyam|S. Janaki,Telugu
Kalalo Pettani Muddulu Pettu,S. P. Balasubrahmanyam|S. Janaki,Telugu
Gundelo Thaketa,S. P. Balasubrahmanyam|K. S. Chithra,Telugu
Jayathwadabhra,Ghanatasala,Telugu
Oho Basthi Dorasani,Ghanatasala|Jikki,Telugu
Manasu Gathi Inthey,Ghanatasala,Telugu
Eppudu Eppudu,S. P. Balasubrahmanyam|K. S. Chithra,Telugu
Padalenu,S. Janaki,Telugu
Matthu Vadalaraa,Ghanatasala,Telugu
Guggu Guggu Gudisundi,S. P. Balasubrahmanyam|P. Susheela,Telugu
Changu Chaaka,S. P. Sailaja,Telugu
Nenoka Chilakala,S. P. Balasubrahmanyam,Telugu
Arere Dada Petti,S. P. Balasubrahmanyam|P. Susheela,Telugu
Ee Jeevana Tharangalalo,Ghanatasala,Telugu
O Sukumara Ninugani,Ghanatasala|P Leela,Telugu
Entha Sogasuga,Ghanatasala|P. Susheela,Telugu
No No Natyamida,S. P. Balasubrahmanyam|P. Susheela,Telugu
Kanne Pilla Vediki,Mano|S. Janaki,Telugu
Maa Kanti,P. Susheela,Telugu
Natarajane,S. P. Sailaja,Telugu
Virisindhi,Ghanatasala|Jikki,Telugu
O Deva Kanaleva,Ghanatasala,Telugu
He Papa,S. P. Balasubrahmanyam|Jojo,Telugu
